**** PROYECTO YAYACC ****
- Jocelyn de León
- Kevin Romero
- José De León

GRAMÁTICA VÁLIDA
21/11/2021 23:55:00

-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
STATES                                                                                              |STACK                                                                                                                                                      |ACTION  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0  3                                                                                                |#           T_NONT                                                                                                                                         |S3      
0  3  5                                                                                             |#           T_NONT      T_SEPARATOR                                                                                                                        |S5      
0  3  5  9                                                                                          |#           T_NONT      T_SEPARATOR T_NONT                                                                                                                 |S9      
0  3  5  9                                                                                          |#           T_NONT      T_SEPARATOR T_NONT                                                                                                                 |R9      
0  3  5  7                                                                                          |#           T_NONT      T_SEPARATOR RULE                                                                                                                   |R3      
0  2  4                                                                                             |#           S           T_ENDLINE                                                                                                                          |S4      
0  2  4  3                                                                                          |#           S           T_ENDLINE   T_NONT                                                                                                                 |S3      
0  2  4  3  5                                                                                       |#           S           T_ENDLINE   T_NONT      T_SEPARATOR                                                                                                |S5      
0  2  4  3  5  8                                                                                    |#           S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL                                                                                     |S8      
0  2  4  3  5  8                                                                                    |#           S           T_ENDLINE   T_NONT      T_SEPARATOR T_TERMINAL                                                                                     |R8      
0  2  4  3  5  7  9                                                                                 |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_NONT                                                                             |S9      
0  2  4  3  5  7  9                                                                                 |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_NONT                                                                             |R9      
0  2  4  3  5  7  11 9                                                                              |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        RULE        T_NONT                                                                 |S9      
0  2  4  3  5  7  11 9                                                                              |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        RULE        T_NONT                                                                 |R9      
0  2  4  3  5  7  11 11                                                                             |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        RULE        RULE                                                                   |R7      
0  2  4  3  5  7  11                                                                                |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        RULE                                                                               |R7      
0  2  4  3  5  7  10                                                                                |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR                                                                               |S10     
0  2  4  3  5  7  10 8                                                                              |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        T_TERMINAL                                                             |S8      
0  2  4  3  5  7  10 8                                                                              |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        T_TERMINAL                                                             |R8      
0  2  4  3  5  7  10 13 9                                                                           |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_NONT                                                     |S9      
0  2  4  3  5  7  10 13 9                                                                           |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_NONT                                                     |R9      
0  2  4  3  5  7  10 13 11 9                                                                        |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        RULE        T_NONT                                         |S9      
0  2  4  3  5  7  10 13 11 9                                                                        |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        RULE        T_NONT                                         |R9      
0  2  4  3  5  7  10 13 11 11                                                                       |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        RULE        RULE                                           |R7      
0  2  4  3  5  7  10 13 11                                                                          |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        RULE                                                       |R7      
0  2  4  3  5  7  10 13 14                                                                          |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_OR                                                       |S14     
0  2  4  3  5  7  10 13 14 8                                                                        |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_OR        T_TERMINAL                                     |S8      
0  2  4  3  5  7  10 13 14 8                                                                        |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_OR        T_TERMINAL                                     |R8      
0  2  4  3  5  7  10 13 14 13                                                                       |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_OR        RULE                                           |R6      
0  2  4  3  5  7  10 13 14 15                                                                       |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        RULE        T_OR        D                                              |R5      
0  2  4  3  5  7  10 12                                                                             |#           S           T_ENDLINE   T_NONT      T_SEPARATOR RULE        T_OR        D                                                                      |R4      
0  2  4  2  4                                                                                       |#           S           T_ENDLINE   S           T_ENDLINE                                                                                                  |S4      
0  2  4  2  4                                                                                       |#           S           T_ENDLINE   S           T_ENDLINE                                                                                                  |R2      
0  2  4  6                                                                                          |#           S           T_ENDLINE   S'                                                                                                                     |R1      
0  1                                                                                                |#           S'                                                                                                                                             |ACCEPTED

